套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
N3.2B,2,通用型,4,30,1.0,2.0,2.0,6.0,元/小时,0.5244,–,0.9592,1.919,,,,,,,,0.8384,,
N3.2C,2,通用型,8,30,1.0,2.0,2.0,6.0,元/小时,0.7868,–,1.2524,2.5058,,,,,,,,1.2576,,
N3.4B,4,通用型,8,50,1.5,2.0,2.0,6.0,元/小时,1.0488,–,1.9184,3.838,,,,,,,,1.6768,,
N3.4C,4,通用型,16,50,1.5,2.0,4.0,6.0,元/小时,1.5736,–,2.5048,5.0116,,,,,,,,2.5152,,
N3.4D,4,通用型,32,50,1.5,2.0,4.0,6.0,,,–,,,,,,,,,,,,
N3.8B,8,通用型,16,80,2.5,2.0,8.0,10.0,元/小时,2.0976,–,3.8368,7.676,,,,,,,,3.3536,,
N3.8C,8,通用型,32,80,2.5,2.0,8.0,10.0,元/小时,3.1472,–,5.0096,10.0232,,,,,,,,5.0304,,
N3.8D,8,通用型,64,80,2.5,2.0,8.0,10.0,,,–,,,,,,,,,,,,
N3.12B,12,通用型,24,90,4.0,2.0,12.0,15.0,元/小时,3.1464,–,5.7552,11.514,,,,,,,,5.0304,,
N3.12C,12,通用型,48,90,4.0,2.0,12.0,15.0,元/小时,4.7208,–,7.5144,15.0348,,,,,,,,7.5456,,
N3.16B,16,通用型,32,100,5.0,2.0,16.0,20.0,元/小时,4.1952,–,7.6736,15.352,,,,,,,,6.7072,,
N3.16C,16,通用型,64,100,5.0,2.0,16.0,20.0,元/小时,6.2944,–,10.0192,20.0464,,,,,,,,10.0608,,
N3.24B,24,通用型,48,100,7.0,4.0,16.0,20.0,元/小时,6.2928,–,11.5104,23.028,,,,,,,,10.0608,,
N3.24C,24,通用型,96,100,7.0,4.0,16.0,20.0,元/小时,9.4416,–,15.0288,30.0696,,,,,,,,15.0912,,
N3.32B,32,通用型,64,100,8.0,5.0,16.0,20.0,元/小时,8.3904,–,15.3472,30.704,,,,,,,,13.4144,,
N3.32C,32,通用型,128,100,8.0,5.0,16.0,20.0,元/小时,12.5888,–,20.0384,40.0928,,,,,,,,20.1216,,
P4V.8A1,8,GPU通用计算型,32GB,20,1.5,,,,,,240GB,,,,,,1颗,16GB*1,,,,,
P4V.16B2,16,GPU通用计算型,64GB,30,3.0,,,,,,480GB,,,,,,2颗,16GB*2,,,,,
P4V.28C4,28,GPU通用计算型,128GB,30,6.0,,,,,,960GB,,,,,,4颗,16GB*4,,,,,
P4V.56D8,56,GPU通用计算型,256GB,40,8.0,,,,,,1920GB,,,,,,8颗,16GB*8,,,,,
P6V.16D1,16,GPU高效计算型,128GB,60,3.0,,,,,,,,,,,,1颗,80GB*1,,,,,
P6V.32D2,32,GPU高效计算型,256GB,120,6.0,,,,,,,,,,,,2颗,80GB*2,,,,,
P6V.64D4,64,GPU高效计算型,512GB,250,12.0,,,,,,,,,,,,4颗,80GB*4,,,,,
P6V.112D8,112,GPU高效计算型,896GB,500,24.0,,,,,,,,,,,,8颗,80GB*8,,,,,
S3.1A,1,标准型,1,20,1.0,3.0,1.0,6.0,元/小时,0.1879,0-100,,,,,,,,,,,,
S3.1B,1,标准型,2,20,1.0,3.0,1.0,6.0,元/小时,0.2505,0-100,,,,,,,,,,,,
S3.1C,1,标准型,4,20,1.0,3.0,1.0,6.0,元/小时,0.3757,0-100,,,,,,,,,,,,
S3.2A,2,标准型,2,25,1.0,3.0,2.0,6.0,元/小时,0.3758,0-200,,,,,,,,,,,,
S3.2B,2,标准型,4,25,1.0,3.0,2.0,6.0,元/小时,0.501,0-200,,,,,,,,,,,,
S3.2C,2,标准型,8,25,1.0,3.0,2.0,6.0,元/小时,0.7514,0-200,,,,,,,,,,,,
S3.4A,4,标准型,4,45,1.5,3.0,4.0,6.0,元/小时,0.7516,0-500,,,,,,,,,,,,
S3.4B,4,标准型,8,45,1.5,3.0,4.0,6.0,元/小时,1.002,0-500,,,,,,,,,,,,
S3.4C,4,标准型,16,45,1.5,3.0,4.0,6.0,元/小时,1.5028,0-500,,,,,,,,,,,,
S3.4D,4,标准型,32,45,1.5,3.0,4.0,6.0,,,0-500,,,,,,,,,,,,
S3.8A,8,标准型,8,85,2.0,3.0,8.0,10.0,元/小时,1.5032,0-800,,,,,,,,,,,,
S3.8B,8,标准型,16,85,2.0,3.0,8.0,10.0,元/小时,2.004,0-800,,,,,,,,,,,,
